source,document,url,page,period,county,type,band_lo,band_hi,count,basis
hawaii_life,Luxury Market Report 2026 Midyear,https://smarket.hawaiilife.com/products/hl-luxury-market-report-2026-midyear,30,2022H2,Hawaii,condo,10000000,inf,0,chart
hawaii_life,Luxury Market Report 2026 Midyear,https://smarket.hawaiilife.com/products/hl-luxury-market-report-2026-midyear,30,2023H1,Hawaii,condo,10000000,inf,0,chart
hawaii_life,Luxury Market Report 2026 Midyear,https://smarket.hawaiilife.com/products/hl-luxury-market-report-2026-midyear,30,2023H2,Hawaii,condo,10000000,inf,0,chart
hawaii_life,Luxury Market Report 2026 Midyear,https://smarket.hawaiilife.com/products/hl-luxury-market-report-2026-midyear,30,2024H1,Hawaii,condo,10000000,inf,1,chart
hawaii_life,Luxury Market Report 2026 Midyear,https://smarket.hawaiilife.com/products/hl-luxury-market-report-2026-midyear,30,2024H2,Hawaii,condo,10000000,inf,0,chart
hawaii_life,Luxury Market Report 2026 Midyear,https://smarket.hawaiilife.com/products/hl-luxury-market-report-2026-midyear,30,2025H1,Hawaii,condo,10000000,inf,1,chart
hawaii_life,Luxury Market Report 2026 Midyear,https://smarket.hawaiilife.com/products/hl-luxury-market-report-2026-midyear,30,2025H2,Hawaii,condo,10000000,inf,0,chart
hawaii_life,Luxury Market Report 2026 Midyear,https://smarket.hawaiilife.com/products/hl-luxury-market-report-2026-midyear,30,2026H1,Hawaii,condo,10000000,inf,1,chart
hawaii_life,Luxury Market Report 2026 Midyear,https://smarket.hawaiilife.com/products/hl-luxury-market-report-2026-midyear,30,2022H2,Hawaii,house,10000000,inf,4,chart
hawaii_life,Luxury Market Report 2026 Midyear,https://smarket.hawaiilife.com/products/hl-luxury-market-report-2026-midyear,30,2023H1,Hawaii,house,10000000,inf,4,chart
hawaii_life,Luxury Market Report 2026 Midyear,https://smarket.hawaiilife.com/products/hl-luxury-market-report-2026-midyear,30,2023H2,Hawaii,house,10000000,inf,8,chart
hawaii_life,Luxury Market Report 2026 Midyear,https://smarket.hawaiilife.com/products/hl-luxury-market-report-2026-midyear,30,2024H1,Hawaii,house,10000000,inf,11,chart
hawaii_life,Luxury Market Report 2026 Midyear,https://smarket.hawaiilife.com/products/hl-luxury-market-report-2026-midyear,30,2024H2,Hawaii,house,10000000,inf,7,chart
hawaii_life,Luxury Market Report 2026 Midyear,https://smarket.hawaiilife.com/products/hl-luxury-market-report-2026-midyear,30,2025H1,Hawaii,house,10000000,inf,15,chart
hawaii_life,Luxury Market Report 2026 Midyear,https://smarket.hawaiilife.com/products/hl-luxury-market-report-2026-midyear,30,2025H2,Hawaii,house,10000000,inf,8,chart
hawaii_life,Luxury Market Report 2026 Midyear,https://smarket.hawaiilife.com/products/hl-luxury-market-report-2026-midyear,30,2026H1,Hawaii,house,10000000,inf,15,chart
hawaii_life,Luxury Market Report 2026 Midyear,https://smarket.hawaiilife.com/products/hl-luxury-market-report-2026-midyear,12,2022H2,Honolulu,condo,10000000,inf,1,chart
hawaii_life,Luxury Market Report 2026 Midyear,https://smarket.hawaiilife.com/products/hl-luxury-market-report-2026-midyear,12,2023H1,Honolulu,condo,10000000,inf,2,chart
hawaii_life,Luxury Market Report 2026 Midyear,https://smarket.hawaiilife.com/products/hl-luxury-market-report-2026-midyear,12,2023H2,Honolulu,condo,10000000,inf,2,chart
hawaii_life,Luxury Market Report 2026 Midyear,https://smarket.hawaiilife.com/products/hl-luxury-market-report-2026-midyear,12,2024H1,Honolulu,condo,10000000,inf,0,chart
hawaii_life,Luxury Market Report 2026 Midyear,https://smarket.hawaiilife.com/products/hl-luxury-market-report-2026-midyear,12,2024H2,Honolulu,condo,10000000,inf,0,chart
